aadab	2.492	4.403
aadil	2.164	2.935
aafaq	2.164	2.935
aag	23.186	37.994
aagpb	2.503	4.696
aakshita	2.164	2.935
aala	8.984	13.208
aalam	6.82	10.273
aalameen	2.164	2.935
aalimiyya	2.492	4.403
aalimiyyareckon	2.164	2.935
aalimyya	2.164	2.935
aamer	9.176	13.698
aamir	23.804	32.285
aao	2.164	2.935
aarain	2.424	3.914
aashiq	2.164	2.935
aasim	4.328	5.87
aasor	2.164	2.935
abad	311.816	538.971
abadi	8.479	14.396
abaidurrehman	2.424	3.914
abandon	24.324	34.243
abat	8.656	11.74
abba	118.273	199.703
abbasetc	2.164	2.935
abbasi	58.889	96.524
abbassia	2.164	2.935
abbot	9.559	18.031
abbott	9.609	17.751
abbottabad	7.471	14.424
abd	208.868	370.861
abdar	2.424	3.914
abdi	20.064	28.862
abdic	17.572	24.459
abdomin	2.164	2.935
abdu	204.095	360.712
abduct	2.492	4.403
abdul	204.678	358.718
abdulhaq	4.328	5.87
abdullah	34.156	50.877
abdur	16.051	26.057
aberr	4.328	5.87
abet	6.82	10.273
abettor	2.164	2.935
abey	13.654	24.802
abhijit	2.164	2.935
abhor	10.82	14.675
abhorr	6.492	8.805
abi	222.57	395.104
abid	71.204	101.751
abida	2.164	2.935
abideen	2.164	2.935
abil	100.547	173.538
abjur	2.164	2.935
abl	292.843	614.835
ablaz	2.164	2.935
abli	208.792	368.754
ablut	2.424	3.914
abnorm	4.328	5.87
abolish	11.148	16.143
abolit	6.492	8.805
abomin	2.164	2.935
abort	4.328	5.87
abov	288.428	582.627
abovecit	2.164	2.935
abovement	19.996	28.373
abovenot	4.328	5.87
abovequot	4.588	6.849
aboveref	2.164	2.935
abovesaid	12.984	17.61
abr	106.622	171.99
abrar	6.831	10.566
abreast	2.164	2.935
abridg	15.668	22.503
abro	49.315	81.446
abroad	41.366	65.252
abrog	11.72	19.512
abrupt	4.328	5.87
abruptli	2.164	2.935
absar	2.164	2.935
abscent	6.492	8.805
abscond	11.6	17.612
absenc	117.174	184.713
absent	49.833	75.238
absentia	2.424	3.914
absolut	81.645	136.083
absolv	5.836	11.59
absolvd	2.164	2.935
absolvo	2.492	4.403
absorb	4.588	6.849
absorpt	2.424	3.914
abstract	9.255	14.48
absurd	18.431	28.178
abu	95.005	158.585
abul	29.933	49.228
abund	22.42	32.287
abundantli	15.408	21.524
abus	52.785	83.695
academ	41.115	67.665
academi	11.679	18.394
